,Unnamed: 0,Participant,GameID,Run,Trial,BalloonCount,PopPoint,Condition,P2,Fixation,Photo,NewBalloon,OutcomeScreen,Winner,Looking,SBRating,PressPump,ReleasePump,Tokens,CashIn,Pop,P2_PopPoint,P2_PressPump,P2_ReleasePump,P2_Tokens,P2_CashIn,P2_Pop,Onset,Dur,Restarted,HitBlockTime,Trigger,Break,Session,P2ID,Repeat,P2Repeat
0,0,46.0,22222.0,1.0,1.0,0.0,56.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452000141144,6.79006385803,0.0,0.0,0.0,0.0,6,1,0,0
1,1,46.0,22222.0,1.0,1.0,0.0,56.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27848911285,0.0,0.0,0.0,0.0,0.0,6,1,0,0
2,2,46.0,22222.0,1.0,1.0,0.0,56.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77865695953,2.10597515106,0.0,0.0,0.0,0.0,6,1,0,0
3,3,46.0,22222.0,1.0,1.0,0.0,56.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9142899513,0.0,0.0,0.0,0.0,0.0,6,1,0,0
4,4,46.0,22222.0,1.0,1.0,0.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2559430599,0.0,0.0,0.0,0.0,0.0,6,1,0,0
5,5,46.0,22222.0,1.0,1.0,0.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9558620453,0.0,0.0,0.0,0.0,0.0,6,1,0,0
6,6,46.0,22222.0,1.0,1.0,0.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7059390545,0.0,0.0,0.0,0.0,0.0,6,1,0,0
7,7,46.0,22222.0,1.0,1.0,0.0,56.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7250339985,0.0,0.0,0.0,0.0,0.0,6,1,0,0
8,8,46.0,22222.0,1.0,2.0,1.0,47.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7742440701,6.0135409832,0.0,0.0,0.0,0.0,6,1,0,0
9,9,46.0,22222.0,1.0,2.0,1.0,47.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8281731606,0.0,0.0,0.0,0.0,0.0,6,1,0,0
10,10,46.0,22222.0,1.0,2.0,1.0,47.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3283641338,2.50672101974,0.0,0.0,0.0,0.0,6,1,0,0
