,Unnamed: 0,Participant,GameID,Run,Trial,BalloonCount,PopPoint,Condition,P2,Fixation,Photo,NewBalloon,OutcomeScreen,Winner,Looking,SBRating,PressPump,ReleasePump,Tokens,CashIn,Pop,P2_PopPoint,P2_PressPump,P2_ReleasePump,P2_Tokens,P2_CashIn,P2_Pop,Onset,Dur,Restarted,HitBlockTime,Trigger,Break,Session,P2ID,Repeat,P2Repeat
0,0,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359699010849,3.80751895905,0.0,0.0,0.0,0.0,25,1,0,0
1,1,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19597911835,0.0,0.0,0.0,0.0,0.0,25,1,0,0
2,2,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69615101814,3.67344999313,0.0,0.0,0.0,0.0,25,1,0,0
3,3,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39966797829,0.0,0.0,0.0,0.0,0.0,25,1,0,0
4,4,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2865481377,0.0,0.0,0.0,0.0,0.0,25,1,0,0
5,5,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3864691257,0.0,0.0,0.0,0.0,0.0,25,1,0,0
6,6,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6364040375,0.0,0.0,0.0,0.0,0.0,25,1,0,0
7,7,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9697191715,0.0,0.0,0.0,0.0,0.0,25,1,0,0
8,8,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2697730064,0.0,0.0,0.0,0.0,0.0,25,1,0,0
9,9,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3698050976,0.0,0.0,0.0,0.0,0.0,25,1,0,0
10,10,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0197510719,0.0,0.0,0.0,0.0,0.0,25,1,0,0
11,11,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1197080612,0.0,0.0,0.0,0.0,0.0,25,1,0,0
12,12,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2530679703,0.0,0.0,0.0,0.0,0.0,25,1,0,0
13,13,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3531279564,0.0,0.0,0.0,0.0,0.0,25,1,0,0
14,14,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5030500889,0.0,0.0,0.0,0.0,0.0,25,1,0,0
15,15,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6030881405,0.0,0.0,0.0,0.0,0.0,25,1,0,0
16,16,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8363890648,0.0,0.0,0.0,0.0,0.0,25,1,0,0
17,17,142.0,22225.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9030599594,0.0,0.0,0.0,0.0,0.0,25,1,0,0
