,Unnamed: 0,Participant,GameID,Run,Trial,BalloonCount,PopPoint,Condition,P2,Fixation,Photo,NewBalloon,OutcomeScreen,Winner,Looking,SBRating,PressPump,ReleasePump,Tokens,CashIn,Pop,P2_PopPoint,P2_PressPump,P2_ReleasePump,P2_Tokens,P2_CashIn,P2_Pop,Onset,Dur,Restarted,HitBlockTime,Trigger,Break,Session,P2ID,Repeat,P2Repeat
0,0,80.0,22221.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14576721191e-06,2.29974985123,0.0,0.0,1.0,0.0,13,0,0,0
1,1,80.0,22221.0,1.0,1.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329624176025,5.43530678749,0.0,0.0,0.0,0.0,13,0,0,0
2,2,80.0,22221.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.80850696564,0.0,0.0,0.0,0.0,0.0,13,0,0,0
3,3,80.0,22221.0,1.0,1.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30457496643,3.25132918358,0.0,0.0,0.0,0.0,13,0,0,0
4,4,80.0,22221.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6074960232,0.0,0.0,0.0,0.0,0.0,13,0,0,0
5,5,80.0,22221.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2357580662,0.0,0.0,0.0,0.0,0.0,13,0,0,0
6,6,80.0,22221.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8346071243,0.0,0.0,0.0,0.0,0.0,13,0,0,0
7,7,80.0,22221.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0848600864,0.0,0.0,0.0,0.0,0.0,13,0,0,0
8,8,80.0,22221.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1010501385,0.0,0.0,0.0,0.0,0.0,13,0,0,0
9,9,80.0,22221.0,1.0,2.0,1.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2219719887,4.45728421211,0.0,0.0,0.0,0.0,13,0,0,0
10,10,80.0,22221.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7274410725,0.0,0.0,0.0,0.0,0.0,13,0,0,0
11,11,80.0,22221.0,1.0,2.0,1.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.227394104,3.71135497093,0.0,0.0,0.0,0.0,13,0,0,0
12,12,80.0,22221.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9823281765,0.0,0.0,0.0,0.0,0.0,13,0,0,0
13,13,80.0,22221.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8173890114,0.0,0.0,0.0,0.0,0.0,13,0,0,0
14,14,80.0,22221.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4513840675,0.0,0.0,0.0,0.0,0.0,13,0,0,0
15,15,80.0,22221.0,1.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4677941799,0.0,0.0,0.0,0.0,0.0,13,0,0,0
16,16,80.0,22221.0,1.0,3.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5619211197,4.40417098999,0.0,0.0,0.0,0.0,13,0,0,0
17,17,80.0,22221.0,1.0,3.0,2.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0832979679,0.0,0.0,0.0,0.0,0.0,13,0,0,0
18,18,80.0,22221.0,1.0,3.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5833721161,3.81196308136,0.0,0.0,0.0,0.0,13,0,0,0
19,19,80.0,22221.0,1.0,3.0,2.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43917799,0.0,0.0,0.0,0.0,0.0,13,0,0,0
20,20,80.0,22221.0,1.0,3.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1335291862,0.0,0.0,0.0,0.0,0.0,13,0,0,0
21,21,80.0,22221.0,1.0,3.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3998961449,0.0,0.0,0.0,0.0,0.0,13,0,0,0
22,22,80.0,22221.0,1.0,3.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4174261093,0.0,0.0,0.0,0.0,0.0,13,0,0,0
23,23,80.0,22221.0,1.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5052161217,3.1193819046,0.0,0.0,0.0,0.0,13,0,0,0
24,24,80.0,22221.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7014410496,0.0,0.0,0.0,0.0,0.0,13,0,0,0
