,SubjectID,MaxRating
0,103,60.0
1,105,64
2,114,64
3,115,58
4,118,64
5,123,70
6,127,64
7,131,75
8,138,54
9,140,64
10,150,64
11,156,68
12,16,100
13,160,60
14,24,75
15,30,70
16,36,70
17,45,100
18,47,60
19,54,68
20,60,70
21,65,64
22,72,68
23,74,52
24,8,70
25,80,64
26,83,70
27,86,100
28,90,70
