,Unnamed: 0,Participant,GameID,Run,Trial,BalloonCount,PopPoint,Condition,P2,Fixation,Photo,NewBalloon,OutcomeScreen,Winner,Looking,SBRating,PressPump,ReleasePump,Tokens,CashIn,Pop,P2_PopPoint,P2_PressPump,P2_ReleasePump,P2_Tokens,P2_CashIn,P2_Pop,Onset,Dur,Restarted,HitBlockTime,Trigger,Break,Session,P2ID,Repeat,P2Repeat
0,0,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357660055161,4.54504799843,0.0,0.0,0.0,0.0,25,1,0,0
1,1,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93906712532,0.0,0.0,0.0,0.0,0.0,25,1,0,0
2,2,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43919014931,2.23131990433,0.0,0.0,0.0,0.0,25,1,0,0
3,3,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73277306557,0.0,0.0,0.0,0.0,0.0,25,1,0,0
4,4,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50225305557,0.0,0.0,0.0,0.0,0.0,25,1,0,0
5,5,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60231900215,0.0,0.0,0.0,0.0,0.0,25,1,0,0
6,6,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91886210442,0.0,0.0,0.0,0.0,0.0,25,1,0,0
7,7,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0022490025,0.0,0.0,0.0,0.0,0.0,25,1,0,0
8,8,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2522490025,0.0,0.0,0.0,0.0,0.0,25,1,0,0
9,9,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3188951015,0.0,0.0,0.0,0.0,0.0,25,1,0,0
10,10,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5855801105,0.0,0.0,0.0,0.0,0.0,25,1,0,0
11,11,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6521551609,0.0,0.0,0.0,0.0,0.0,25,1,0,0
12,12,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9188640118,0.0,0.0,0.0,0.0,0.0,25,1,0,0
13,13,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9689600468,0.0,0.0,0.0,0.0,0.0,25,1,0,0
14,14,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2188420296,0.0,0.0,0.0,0.0,0.0,25,1,0,0
15,15,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3021941185,0.0,0.0,0.0,0.0,0.0,25,1,0,0
16,16,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6521041393,0.0,0.0,0.0,0.0,0.0,25,1,0,0
17,17,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.718804121,0.0,0.0,0.0,0.0,0.0,25,1,0,0
18,18,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9021401405,0.0,0.0,0.0,0.0,0.0,25,1,0,0
19,19,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0021071434,0.0,0.0,0.0,0.0,0.0,25,1,0,0
20,20,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1521852016,0.0,0.0,0.0,0.0,0.0,25,1,0,0
21,21,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2188210487,0.0,0.0,0.0,0.0,0.0,25,1,0,0
22,22,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3688511848,0.0,0.0,0.0,0.0,0.0,25,1,0,0
23,23,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4354641438,0.0,0.0,0.0,0.0,0.0,25,1,0,0
24,24,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8187880516,0.0,0.0,0.0,0.0,0.0,25,1,0,0
25,25,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.918721199,0.0,0.0,0.0,0.0,0.0,25,1,0,0
26,26,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0354690552,0.0,0.0,0.0,0.0,0.0,25,1,0,0
27,27,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1354520321,0.0,0.0,0.0,0.0,0.0,25,1,0,0
28,28,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2854371071,0.0,0.0,0.0,0.0,0.0,25,1,0,0
29,29,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.385488987,0.0,0.0,0.0,0.0,0.0,25,1,0,0
30,30,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5520889759,0.0,0.0,0.0,0.0,0.0,25,1,0,0
31,31,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7188019753,0.0,0.0,0.0,0.0,0.0,25,1,0,0
32,32,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9020950794,0.0,0.0,0.0,0.0,0.0,25,1,0,0
33,33,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0021440983,0.0,0.0,0.0,0.0,0.0,25,1,0,0
34,34,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1854221821,0.0,0.0,0.0,0.0,0.0,25,1,0,0
35,35,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3187479973,0.0,0.0,0.0,0.0,0.0,25,1,0,0
36,36,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5687541962,0.0,0.0,0.0,0.0,0.0,25,1,0,0
37,37,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6354341507,0.0,0.0,0.0,0.0,0.0,25,1,0,0
38,38,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9187860489,0.0,0.0,0.0,0.0,0.0,25,1,0,0
39,39,139.0,22222.0,1.0,1.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9854750633,0.0,0.0,0.0,0.0,0.0,25,1,0,0
