0.0082418,1,1
0.021978,2,1
0.027473,3,1
0.046703,4,1
0.063187,5,1
0.085165,6,1
0.12637,7,1
0.10165,8,1
0.087912,9,1
0.074176,10,1
0.057692,11,1
0.052198,12,1
0.046703,13,1
0.041209,14,1
0.035714,15,1
0.03022,16,1
0.027473,17,1
0.024725,18,1
0.021978,19,1
0.019231,20,1
0,1,2
0.03,2,2
0.02,3,2
0.03,4,2
0.2,5,2
0.2,6,2
0.2,7,2
0.2,8,2
0.02,9,2
0.03,10,2
0.02,11,2
0.04,12,2
0.01,13,2
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
0.08,1,4
0.08,2,4
0.08,3,4
0.08,4,4
0.1,5,4
0.11,6,4
0.08,7,4
0.05,8,4
0.04,9,4
0.04,10,4
0.04,11,4
0.03,12,4
0.03,13,4
0.03,14,4
0.03,15,4
0.03,16,4
0.02,17,4
0.02,18,4
0.02,19,4
0.01,20,4
0,1,5
0.021127,2,5
0.021127,3,5
0.049296,4,5
0.12676,5,5
0.15493,6,5
0.11972,7,5
0.1831,8,5
0.21127,9,5
0.091549,10,5
0.021127,11,5
0,12,5
0,13,5
0,14,5
0,15,5
0,16,5
0,17,5
0,18,5
0,19,5
0,20,5
0,1,6
0.016949,2,6
0.016949,3,6
0.030508,4,6
0.050847,5,6
0.067797,6,6
0.084746,7,6
0.13559,8,6
0.11864,9,6
0.10169,10,6
0.10169,11,6
0.084746,12,6
0.067797,13,6
0.050847,14,6
0.020339,15,6
0.020339,16,6
0.016949,17,6
0.0067797,18,6
0.0033898,19,6
0.0033898,20,6
0.05,1,8
0.05,2,8
0.05,3,8
0.05,4,8
0.05,5,8
0.05,6,8
0.05,7,8
0.05,8,8
0.05,9,8
0.05,10,8
0.05,11,8
0.05,12,8
0.05,13,8
0.05,14,8
0.05,15,8
0.05,16,8
0.05,17,8
0.05,18,8
0.05,19,8
0.05,20,8
0,1,9
0.21192,2,9
0.17881,3,9
0,4,9
0,5,9
0,6,9
0,7,9
0.16556,8,9
0.13245,9,9
0.099338,10,9
0.092715,11,9
0.066225,12,9
0.05298,13,9
0,14,9
0,15,9
0,16,9
0,17,9
0,18,9
0,19,9
0,20,9
0,1,11
0.088235,2,11
0,3,11
0,4,11
0.14706,5,11
0,6,11
0,7,11
0,8,11
0,9,11
0.16912,10,11
0,11,11
0,12,11
0,13,11
0,14,11
0.27206,15,11
0,16,11
0,17,11
0,18,11
0.32353,19,11
0,20,11
0,1,12
0,2,12
0,3,12
0.19,4,12
0,5,12
0,6,12
0,7,12
0,8,12
0.36,9,12
0.27,10,12
0,11,12
0,12,12
0.1,13,12
0,14,12
0,15,12
0,16,12
0,17,12
0,18,12
0,19,12
0.08,20,12
0.023923,1,13
0.047847,2,13
0.052632,3,13
0.078947,4,13
0.066986,5,13
0.04067,6,13
0.026316,7,13
0.047847,8,13
0.07177,9,13
0.093301,10,13
0.062201,11,13
0.026316,12,13
0.047847,13,13
0.08134,14,13
0.055024,15,13
0.019139,16,13
0.04067,17,13
0.062201,18,13
0.038278,19,13
0.016746,20,13
0.0053191,1,14
0.026596,2,14
0.037234,3,14
0.021277,4,14
0.058511,5,14
0.06383,6,14
0.10638,7,14
0.047872,8,14
0.069149,9,14
0.058511,10,14
0.058511,11,14
0.079787,12,14
0.069149,13,14
0.058511,14,14
0.10638,15,14
0.074468,16,14
0.010638,17,14
0.021277,18,14
0.015957,19,14
0.010638,20,14
0,1,16
0,2,16
0.05,3,16
0.05,4,16
0.05,5,16
0.1,6,16
0.1,7,16
0.1,8,16
0.1,9,16
0.05,10,16
0.05,11,16
0.05,12,16
0.05,13,16
0.05,14,16
0.05,15,16
0.05,16,16
0.05,17,16
0.05,18,16
0,19,16
0,20,16
0.0052632,1,17
0.0052632,2,17
0.010526,3,17
0.021053,4,17
0.036842,5,17
0.047368,6,17
0.073684,7,17
0.094737,8,17
0.13158,9,17
0.17368,10,17
0.12632,11,17
0.089474,12,17
0.063158,13,17
0.042105,14,17
0.026316,15,17
0.021053,16,17
0.010526,17,17
0.010526,18,17
0.0052632,19,17
0.0052632,20,17
0,1,18
0.036765,2,18
0.073529,3,18
0.014706,4,18
0.036765,5,18
0.125,6,18
0.066176,7,18
0.16912,8,18
0.066176,9,18
0.20588,10,18
0.095588,11,18
0,12,18
0,13,18
0,14,18
0.051471,15,18
0,16,18
0,17,18
0,18,18
0.058824,19,18
0,20,18
0,1,19
0.0051546,2,19
0.010309,3,19
0.015464,4,19
0.020619,5,19
0.025773,6,19
0.030928,7,19
0.041237,8,19
0.036082,9,19
0.07732,10,19
0.036082,11,19
0.025773,12,19
0.030928,13,19
0.015464,14,19
0.020619,15,19
0.015464,16,19
0.07732,17,19
0.10309,18,19
0.10309,19,19
0.30928,20,19
0,1,20
0,2,20
0,3,20
0.21186,4,20
0,5,20
0,6,20
0.17797,7,20
0.050847,8,20
0.050847,9,20
0.10169,10,20
0.042373,11,20
0.042373,12,20
0.042373,13,20
0.042373,14,20
0.09322,15,20
0.14407,16,20
0,17,20
0,18,20
0,19,20
0,20,20
0,1,21
0.009434,2,21
0.009434,3,21
0.023585,4,21
0.023585,5,21
0.023585,6,21
0.037736,7,21
0.037736,8,21
0.037736,9,21
0.04717,10,21
0.056604,11,21
0.056604,12,21
0.066038,13,21
0.066038,14,21
0.075472,15,21
0.075472,16,21
0.084906,17,21
0.084906,18,21
0.089623,19,21
0.09434,20,21
0,1,22
0.05,2,22
0.16,3,22
0.18,4,22
0.18,5,22
0.18,6,22
0.15,7,22
0.04,8,22
0.03,9,22
0.02,10,22
0.01,11,22
0,12,22
0,13,22
0,14,22
0,15,22
0,16,22
0,17,22
0,18,22
0,19,22
0,20,22
0.073171,1,24
0.04878,2,24
0.02439,3,24
0.073171,4,24
0.04878,5,24
0.02439,6,24
0.073171,7,24
0.04878,8,24
0.02439,9,24
0.073171,10,24
0.04878,11,24
0.02439,12,24
0.073171,13,24
0.04878,14,24
0.02439,15,24
0.073171,16,24
0.04878,17,24
0.02439,18,24
0.073171,19,24
0.04878,20,24
0,1,25
0.0037736,2,25
0.011321,3,25
0.030189,4,25
0.037736,5,25
0.083019,6,25
0.033962,7,25
0.033962,8,25
0.033962,9,25
0.18868,10,25
0.13962,11,25
0.10943,12,25
0.098113,13,25
0.075472,14,25
0.05283,15,25
